 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2003-Jul-05 09:00, , , 4.86958852485210,  1.6465215,  148.5175,
 2003-Jul-05 12:00, , , 4.86970737475593,  1.6460323,  148.5279,
 2003-Jul-05 15:00, , , 4.86982618933985,  1.6455430,  148.5382,
 2003-Jul-05 18:00, , , 4.86994496860173,  1.6450537,  148.5486,
 2003-Jul-05 21:00, , , 4.87006371253946,  1.6445644,  148.5589,
 2003-Jul-06 00:00, , , 4.87018242115091,  1.6440750,  148.5693,
 2003-Jul-06 03:00, , , 4.87030109443397,  1.6435857,  148.5797,
 2003-Jul-06 06:00, , , 4.87041973238653,  1.6430963,  148.5900,
 2003-Jul-06 09:00, , , 4.87053833500646,  1.6426068,  148.6004,
 2003-Jul-06 12:00, , , 4.87065690229166,  1.6421174,  148.6107,
 2003-Jul-06 15:00, , , 4.87077543424000,  1.6416279,  148.6211,
 2003-Jul-06 18:00, , , 4.87089393084938,  1.6411383,  148.6314,
 2003-Jul-06 21:00, , , 4.87101239211769,  1.6406488,  148.6418,
 2003-Jul-07 00:00, , , 4.87113081804281,  1.6401592,  148.6522,
 2003-Jul-07 03:00, , , 4.87124920862265,  1.6396696,  148.6625,
 2003-Jul-07 06:00, , , 4.87136756385508,  1.6391800,  148.6729,
 2003-Jul-07 09:00, , , 4.87148588373800,  1.6386903,  148.6832,
 2003-Jul-07 12:00, , , 4.87160416826932,  1.6382006,  148.6936,
 2003-Jul-07 15:00, , , 4.87172241744691,  1.6377109,  148.7039,
 2003-Jul-07 18:00, , , 4.87184063126869,  1.6372211,  148.7143,
 2003-Jul-07 21:00, , , 4.87195880973254,  1.6367313,  148.7246,
 2003-Jul-08 00:00, , , 4.87207695283636,  1.6362415,  148.7350,
 2003-Jul-08 03:00, , , 4.87219506057806,  1.6357517,  148.7453,
 2003-Jul-08 06:00, , , 4.87231313295554,  1.6352618,  148.7557,
 2003-Jul-08 09:00, , , 4.87243116996670,  1.6347719,  148.7660,
 2003-Jul-08 12:00, , , 4.87254917160943,  1.6342820,  148.7764,
 2003-Jul-08 15:00, , , 4.87266713788165,  1.6337920,  148.7867,
 2003-Jul-08 18:00, , , 4.87278506878126,  1.6333020,  148.7971,
 2003-Jul-08 21:00, , , 4.87290296430617,  1.6328120,  148.8074,
 2003-Jul-09 00:00, , , 4.87302082445427,  1.6323219,  148.8178,
 2003-Jul-09 03:00, , , 4.87313864922349,  1.6318319,  148.8281,
 2003-Jul-09 06:00, , , 4.87325643861173,  1.6313418,  148.8385,
 2003-Jul-09 09:00, , , 4.87337419261690,  1.6308516,  148.8488,
 2003-Jul-09 12:00, , , 4.87349191123692,  1.6303615,  148.8592,
 2003-Jul-09 15:00, , , 4.87360959446968,  1.6298713,  148.8695,
 2003-Jul-09 18:00, , , 4.87372724231312,  1.6293810,  148.8798,
 2003-Jul-09 21:00, , , 4.87384485476514,  1.6288908,  148.8902,
 2003-Jul-10 00:00, , , 4.87396243182366,  1.6284005,  148.9005,
 2003-Jul-10 03:00, , , 4.87407997348659,  1.6279102,  148.9109,
 2003-Jul-10 06:00, , , 4.87419747975186,  1.6274199,  148.9212,
 2003-Jul-10 09:00, , , 4.87431495061738,  1.6269295,  148.9316,
 2003-Jul-10 12:00, , , 4.87443238608108,  1.6264391,  148.9419,
 2003-Jul-10 15:00, , , 4.87454978614086,  1.6259487,  148.9522,
 2003-Jul-10 18:00, , , 4.87466715079467,  1.6254582,  148.9626,
 2003-Jul-10 21:00, , , 4.87478448004041,  1.6249678,  148.9729,
 2003-Jul-11 00:00, , , 4.87490177387602,  1.6244773,  148.9833,
 2003-Jul-11 03:00, , , 4.87501903229941,  1.6239867,  148.9936,
 2003-Jul-11 06:00, , , 4.87513625530852,  1.6234962,  149.0039,
 2003-Jul-11 09:00, , , 4.87525344290128,  1.6230056,  149.0143,
 2003-Jul-11 12:00, , , 4.87537059507560,  1.6225149,  149.0246,
 2003-Jul-11 15:00, , , 4.87548771182943,  1.6220243,  149.0350,
 2003-Jul-11 18:00, , , 4.87560479316068,  1.6215336,  149.0453,
 2003-Jul-11 21:00, , , 4.87572183906730,  1.6210429,  149.0556,
 2003-Jul-12 00:00, , , 4.87583884954722,  1.6205522,  149.0660,
 2003-Jul-12 03:00, , , 4.87595582459836,  1.6200614,  149.0763,
 2003-Jul-12 06:00, , , 4.87607276421868,  1.6195706,  149.0866,
 2003-Jul-12 09:00, , , 4.87618966840609,  1.6190798,  149.0970,
 2003-Jul-12 12:00, , , 4.87630653715854,  1.6185889,  149.1073,
 2003-Jul-12 15:00, , , 4.87642337047396,  1.6180980,  149.1176,
 2003-Jul-12 18:00, , , 4.87654016835030,  1.6176071,  149.1280,
 2003-Jul-12 21:00, , , 4.87665693078550,  1.6171162,  149.1383,
 2003-Jul-13 00:00, , , 4.87677365777749,  1.6166252,  149.1486,
 2003-Jul-13 03:00, , , 4.87689034932422,  1.6161342,  149.1590,
 2003-Jul-13 06:00, , , 4.87700700542363,  1.6156432,  149.1693,
 2003-Jul-13 09:00, , , 4.87712362607367,  1.6151522,  149.1796,
 2003-Jul-13 12:00, , , 4.87724021127228,  1.6146611,  149.1900,
 2003-Jul-13 15:00, , , 4.87735676101741,  1.6141700,  149.2003,
 2003-Jul-13 18:00, , , 4.87747327530700,  1.6136788,  149.2106,
 2003-Jul-13 21:00, , , 4.87758975413902,  1.6131877,  149.2209,
 2003-Jul-14 00:00, , , 4.87770619751139,  1.6126965,  149.2313,
 2003-Jul-14 03:00, , , 4.87782260542208,  1.6122052,  149.2416,
 2003-Jul-14 06:00, , , 4.87793897786904,  1.6117140,  149.2519,
 2003-Jul-14 09:00, , , 4.87805531485021,  1.6112227,  149.2623,
 2003-Jul-14 12:00, , , 4.87817161636357,  1.6107314,  149.2726,
 2003-Jul-14 15:00, , , 4.87828788240705,  1.6102401,  149.2829,
 2003-Jul-14 18:00, , , 4.87840411297861,  1.6097487,  149.2932,
 2003-Jul-14 21:00, , , 4.87852030807622,  1.6092573,  149.3036,
 2003-Jul-15 00:00, , , 4.87863646769782,  1.6087659,  149.3139,
 2003-Jul-15 03:00, , , 4.87875259184139,  1.6082744,  149.3242,
 2003-Jul-15 06:00, , , 4.87886868050488,  1.6077830,  149.3345,
 2003-Jul-15 09:00, , , 4.87898473368624,  1.6072915,  149.3449,
 2003-Jul-15 12:00, , , 4.87910075138345,  1.6067999,  149.3552,
 2003-Jul-15 15:00, , , 4.87921673359446,  1.6063084,  149.3655,
 2003-Jul-15 18:00, , , 4.87933268031725,  1.6058168,  149.3758,
 2003-Jul-15 21:00, , , 4.87944859154977,  1.6053252,  149.3861,
 2003-Jul-16 00:00, , , 4.87956446729000,  1.6048335,  149.3965,
 2003-Jul-16 03:00, , , 4.87968030753589,  1.6043418,  149.4068,
 2003-Jul-16 06:00, , , 4.87979611228543,  1.6038501,  149.4171,
 2003-Jul-16 09:00, , , 4.87991188153657,  1.6033584,  149.4274,
 2003-Jul-16 12:00, , , 4.88002761528729,  1.6028666,  149.4377,
 2003-Jul-16 15:00, , , 4.88014331353557,  1.6023749,  149.4481,
 2003-Jul-16 18:00, , , 4.88025897627936,  1.6018830,  149.4584,
 2003-Jul-16 21:00, , , 4.88037460351666,  1.6013912,  149.4687,
 2003-Jul-17 00:00, , , 4.88049019524543,  1.6008993,  149.4790,
 2003-Jul-17 03:00, , , 4.88060575146364,  1.6004074,  149.4893,
 2003-Jul-17 06:00, , , 4.88072127216928,  1.5999155,  149.4996,
 2003-Jul-17 09:00, , , 4.88083675736033,  1.5994235,  149.5100,
 2003-Jul-17 12:00, , , 4.88095220703475,  1.5989316,  149.5203,
 2003-Jul-17 15:00, , , 4.88106762119054,  1.5984396,  149.5306,
 2003-Jul-17 18:00, , , 4.88118299982568,  1.5979475,  149.5409,
 2003-Jul-17 21:00, , , 4.88129834293814,  1.5974554,  149.5512,
 2003-Jul-18 00:00, , , 4.88141365052591,  1.5969633,  149.5615,
 2003-Jul-18 03:00, , , 4.88152892258697,  1.5964712,  149.5718,
 2003-Jul-18 06:00, , , 4.88164415911931,  1.5959791,  149.5822,
 2003-Jul-18 09:00, , , 4.88175936012091,  1.5954869,  149.5925,
 2003-Jul-18 12:00, , , 4.88187452558977,  1.5949947,  149.6028,
 2003-Jul-18 15:00, , , 4.88198965552387,  1.5945025,  149.6131,
 2003-Jul-18 18:00, , , 4.88210474992120,  1.5940102,  149.6234,
 2003-Jul-18 21:00, , , 4.88221980877975,  1.5935179,  149.6337,
 2003-Jul-19 00:00, , , 4.88233483209751,  1.5930256,  149.6440,
 2003-Jul-19 03:00, , , 4.88244981987248,  1.5925332,  149.6543,
 2003-Jul-19 06:00, , , 4.88256477210265,  1.5920409,  149.6646,
 2003-Jul-19 09:00, , , 4.88267968878601,  1.5915485,  149.6749,
 2003-Jul-19 12:00, , , 4.88279456992055,  1.5910560,  149.6852,
 2003-Jul-19 15:00, , , 4.88290941550429,  1.5905636,  149.6956,
 2003-Jul-19 18:00, , , 4.88302422553520,  1.5900711,  149.7059,
 2003-Jul-19 21:00, , , 4.88313900001130,  1.5895786,  149.7162,
 2003-Jul-20 00:00, , , 4.88325373893059,  1.5890860,  149.7265,
 2003-Jul-20 03:00, , , 4.88336844229105,  1.5885935,  149.7368,
 2003-Jul-20 06:00, , , 4.88348311009070,  1.5881009,  149.7471,
 2003-Jul-20 09:00, , , 4.88359774232753,  1.5876083,  149.7574,
 2003-Jul-20 12:00, , , 4.88371233899956,  1.5871156,  149.7677,
 2003-Jul-20 15:00, , , 4.88382690010478,  1.5866229,  149.7780,
 2003-Jul-20 18:00, , , 4.88394142564121,  1.5861302,  149.7883,
 2003-Jul-20 21:00, , , 4.88405591560685,  1.5856375,  149.7986,
 2003-Jul-21 00:00, , , 4.88417036999970,  1.5851447,  149.8089,
 2003-Jul-21 03:00, , , 4.88428478881778,  1.5846519,  149.8192,
 2003-Jul-21 06:00, , , 4.88439917205910,  1.5841591,  149.8295,
 2003-Jul-21 09:00, , , 4.88451351972166,  1.5836663,  149.8398,
 2003-Jul-21 12:00, , , 4.88462783180349,  1.5831734,  149.8501,
 2003-Jul-21 15:00, , , 4.88474210830259,  1.5826805,  149.8604,
 2003-Jul-21 18:00, , , 4.88485634921698,  1.5821876,  149.8707,
 2003-Jul-21 21:00, , , 4.88497055454467,  1.5816946,  149.8810,
 2003-Jul-22 00:00, , , 4.88508472428368,  1.5812017,  149.8913,
 2003-Jul-22 03:00, , , 4.88519885843203,  1.5807086,  149.9016,
 2003-Jul-22 06:00, , , 4.88531295698773,  1.5802156,  149.9119,
 2003-Jul-22 09:00, , , 4.88542701994880,  1.5797225,  149.9222,
 2003-Jul-22 12:00, , , 4.88554104731328,  1.5792295,  149.9325,
 2003-Jul-22 15:00, , , 4.88565503907916,  1.5787363,  149.9428,
 2003-Jul-22 18:00, , , 4.88576899524449,  1.5782432,  149.9531,
 2003-Jul-22 21:00, , , 4.88588291580728,  1.5777500,  149.9634,
 2003-Jul-23 00:00, , , 4.88599680076556,  1.5772568,  149.9737,
 2003-Jul-23 03:00, , , 4.88611065011734,  1.5767636,  149.9840,
 2003-Jul-23 06:00, , , 4.88622446386067,  1.5762703,  149.9943,
 2003-Jul-23 09:00, , , 4.88633824199357,  1.5757771,  150.0046,
 2003-Jul-23 12:00, , , 4.88645198451406,  1.5752837,  150.0148,
 2003-Jul-23 15:00, , , 4.88656569142017,  1.5747904,  150.0251,
 2003-Jul-23 18:00, , , 4.88667936270994,  1.5742970,  150.0354,
 2003-Jul-23 21:00, , , 4.88679299838140,  1.5738036,  150.0457,
 2003-Jul-24 00:00, , , 4.88690659843258,  1.5733102,  150.0560,
 2003-Jul-24 03:00, , , 4.88702016286151,  1.5728168,  150.0663,
 2003-Jul-24 06:00, , , 4.88713369166623,  1.5723233,  150.0766,
 2003-Jul-24 09:00, , , 4.88724718484478,  1.5718298,  150.0869,
 2003-Jul-24 12:00, , , 4.88736064239518,  1.5713363,  150.0972,
 2003-Jul-24 15:00, , , 4.88747406431549,  1.5708427,  150.1075,
 2003-Jul-24 18:00, , , 4.88758745060373,  1.5703491,  150.1177,
 2003-Jul-24 21:00, , , 4.88770080125795,  1.5698555,  150.1280,
 2003-Jul-25 00:00, , , 4.88781411627619,  1.5693619,  150.1383,
 2003-Jul-25 03:00, , , 4.88792739565649,  1.5688682,  150.1486,
 2003-Jul-25 06:00, , , 4.88804063939689,  1.5683745,  150.1589,
 2003-Jul-25 09:00, , , 4.88815384749544,  1.5678808,  150.1692,
 2003-Jul-25 12:00, , , 4.88826701995018,  1.5673871,  150.1795,
 2003-Jul-25 15:00, , , 4.88838015675916,  1.5668933,  150.1898,
 2003-Jul-25 18:00, , , 4.88849325792043,  1.5663995,  150.2000,
 2003-Jul-25 21:00, , , 4.88860632343202,  1.5659057,  150.2103,
 2003-Jul-26 00:00, , , 4.88871935329200,  1.5654118,  150.2206,
 2003-Jul-26 03:00, , , 4.88883234749842,  1.5649180,  150.2309,
 2003-Jul-26 06:00, , , 4.88894530604931,  1.5644241,  150.2412,
 2003-Jul-26 09:00, , , 4.88905822894274,  1.5639301,  150.2515,
 2003-Jul-26 12:00, , , 4.88917111617676,  1.5634362,  150.2617,
 2003-Jul-26 15:00, , , 4.88928396774942,  1.5629422,  150.2720,
 2003-Jul-26 18:00, , , 4.88939678365878,  1.5624482,  150.2823,
 2003-Jul-26 21:00, , , 4.88950956390290,  1.5619541,  150.2926,
 2003-Jul-27 00:00, , , 4.88962230847982,  1.5614600,  150.3029,
 2003-Jul-27 03:00, , , 4.88973501738761,  1.5609660,  150.3131,
 2003-Jul-27 06:00, , , 4.88984769062433,  1.5604718,  150.3234,
 2003-Jul-27 09:00, , , 4.88996032818804,  1.5599777,  150.3337,
 2003-Jul-27 12:00, , , 4.89007293007680,  1.5594835,  150.3440,
 2003-Jul-27 15:00, , , 4.89018549628867,  1.5589893,  150.3542,
 2003-Jul-27 18:00, , , 4.89029802682171,  1.5584951,  150.3645,
 2003-Jul-27 21:00, , , 4.89041052167399,  1.5580008,  150.3748,
 2003-Jul-28 00:00, , , 4.89052298084358,  1.5575065,  150.3851,
 2003-Jul-28 03:00, , , 4.89063540432853,  1.5570122,  150.3954,
 2003-Jul-28 06:00, , , 4.89074779212693,  1.5565179,  150.4056,
 2003-Jul-28 09:00, , , 4.89086014423683,  1.5560235,  150.4159,
 2003-Jul-28 12:00, , , 4.89097246065630,  1.5555291,  150.4262,
 2003-Jul-28 15:00, , , 4.89108474138342,  1.5550347,  150.4365,
 2003-Jul-28 18:00, , , 4.89119698641626,  1.5545403,  150.4467,
 2003-Jul-28 21:00, , , 4.89130919575288,  1.5540458,  150.4570,
 2003-Jul-29 00:00, , , 4.89142136939137,  1.5535513,  150.4673,
 2003-Jul-29 03:00, , , 4.89153350732980,  1.5530568,  150.4775,
 2003-Jul-29 06:00, , , 4.89164560956623,  1.5525622,  150.4878,
 2003-Jul-29 09:00, , , 4.89175767609875,  1.5520677,  150.4981,
 2003-Jul-29 12:00, , , 4.89186970692544,  1.5515731,  150.5084,
 2003-Jul-29 15:00, , , 4.89198170204437,  1.5510784,  150.5186,
 2003-Jul-29 18:00, , , 4.89209366145362,  1.5505838,  150.5289,
 2003-Jul-29 21:00, , , 4.89220558515128,  1.5500891,  150.5392,
 2003-Jul-30 00:00, , , 4.89231747313542,  1.5495944,  150.5494,
 2003-Jul-30 03:00, , , 4.89242932540413,  1.5490996,  150.5597,
 2003-Jul-30 06:00, , , 4.89254114195548,  1.5486049,  150.5700,
 2003-Jul-30 09:00, , , 4.89265292278757,  1.5481101,  150.5802,
 2003-Jul-30 12:00, , , 4.89276466789848,  1.5476153,  150.5905,
 2003-Jul-30 15:00, , , 4.89287637728630,  1.5471204,  150.6008,
 2003-Jul-30 18:00, , , 4.89298805094911,  1.5466256,  150.6110,
 2003-Jul-30 21:00, , , 4.89309968888500,  1.5461307,  150.6213,
 2003-Jul-31 00:00, , , 4.89321129109206,  1.5456357,  150.6316,
 2003-Jul-31 03:00, , , 4.89332285756838,  1.5451408,  150.6418,
 2003-Jul-31 06:00, , , 4.89343438831205,  1.5446458,  150.6521,
 2003-Jul-31 09:00, , , 4.89354588332117,  1.5441508,  150.6624,
 2003-Jul-31 12:00, , , 4.89365734259383,  1.5436558,  150.6726,
 2003-Jul-31 15:00, , , 4.89376876612811,  1.5431607,  150.6829,
 2003-Jul-31 18:00, , , 4.89388015392213,  1.5426657,  150.6932,
 2003-Jul-31 21:00, , , 4.89399150597397,  1.5421706,  150.7034,
 2003-Aug-01 00:00, , , 4.89410282228173,  1.5416754,  150.7137,
 2003-Aug-01 03:00, , , 4.89421410284351,  1.5411803,  150.7239,
 2003-Aug-01 06:00, , , 4.89432534765740,  1.5406851,  150.7342,
 2003-Aug-01 09:00, , , 4.89443655672152,  1.5401899,  150.7445,
 2003-Aug-01 12:00, , , 4.89454773003395,  1.5396946,  150.7547,
 2003-Aug-01 15:00, , , 4.89465886759281,  1.5391994,  150.7650,
 2003-Aug-01 18:00, , , 4.89476996939620,  1.5387041,  150.7752,
 2003-Aug-01 21:00, , , 4.89488103544221,  1.5382088,  150.7855,
 2003-Aug-02 00:00, , , 4.89499206572896,  1.5377134,  150.7958,
 2003-Aug-02 03:00, , , 4.89510306025455,  1.5372180,  150.8060,
 2003-Aug-02 06:00, , , 4.89521401901709,  1.5367226,  150.8163,
 2003-Aug-02 09:00, , , 4.89532494201468,  1.5362272,  150.8265,
 2003-Aug-02 12:00, , , 4.89543582924544,  1.5357318,  150.8368,
 2003-Aug-02 15:00, , , 4.89554668070748,  1.5352363,  150.8470,
 2003-Aug-02 18:00, , , 4.89565749639891,  1.5347408,  150.8573,
 2003-Aug-02 21:00, , , 4.89576827631783,  1.5342453,  150.8675,
 2003-Aug-03 00:00, , , 4.89587902046237,  1.5337497,  150.8778,
 2003-Aug-03 03:00, , , 4.89598972883063,  1.5332541,  150.8881,
 2003-Aug-03 06:00, , , 4.89610040142074,  1.5327585,  150.8983,
 2003-Aug-03 09:00, , , 4.89621103823080,  1.5322629,  150.9086,
 2003-Aug-03 12:00, , , 4.89632163925894,  1.5317672,  150.9188,
 2003-Aug-03 15:00, , , 4.89643220450328,  1.5312716,  150.9291,
 2003-Aug-03 18:00, , , 4.89654273396192,  1.5307759,  150.9393,
 2003-Aug-03 21:00, , , 4.89665322763300,  1.5302801,  150.9496,
 2003-Aug-04 00:00, , , 4.89676368551463,  1.5297844,  150.9598,
 2003-Aug-04 03:00, , , 4.89687410760494,  1.5292886,  150.9701,
 2003-Aug-04 06:00, , , 4.89698449390205,  1.5287928,  150.9803,
 2003-Aug-04 09:00, , , 4.89709484440408,  1.5282969,  150.9906,
 2003-Aug-04 12:00, , , 4.89720515910916,  1.5278011,  151.0008,
 2003-Aug-04 15:00, , , 4.89731543801541,  1.5273052,  151.0111,
 2003-Aug-04 18:00, , , 4.89742568112096,  1.5268092,  151.0213,
 2003-Aug-04 21:00, , , 4.89753588842395,  1.5263133,  151.0316,
 2003-Aug-05 00:00, , , 4.89764605992249,  1.5258173,  151.0418,
 2003-Aug-05 03:00, , , 4.89775619561471,  1.5253213,  151.0521,
 2003-Aug-05 06:00, , , 4.89786629549876,  1.5248253,  151.0623,
 2003-Aug-05 09:00, , , 4.89797635957276,  1.5243293,  151.0725,
 2003-Aug-05 12:00, , , 4.89808638783484,  1.5238332,  151.0828,
 2003-Aug-05 15:00, , , 4.89819638028314,  1.5233371,  151.0930,
 2003-Aug-05 18:00, , , 4.89830633691579,  1.5228410,  151.1033,
 2003-Aug-05 21:00, , , 4.89841625773093,  1.5223448,  151.1135,
 2003-Aug-06 00:00, , , 4.89852614272670,  1.5218487,  151.1238,
 2003-Aug-06 03:00, , , 4.89863599190123,  1.5213525,  151.1340,
 2003-Aug-06 06:00, , , 4.89874580525266,  1.5208562,  151.1443,
 2003-Aug-06 09:00, , , 4.89885558277913,  1.5203600,  151.1545,
 2003-Aug-06 12:00, , , 4.89896532447879,  1.5198637,  151.1647,
 2003-Aug-06 15:00, , , 4.89907503034977,  1.5193674,  151.1750,
 2003-Aug-06 18:00, , , 4.89918470039021,  1.5188711,  151.1852,
 2003-Aug-06 21:00, , , 4.89929433459827,  1.5183747,  151.1955,
 2003-Aug-07 00:00, , , 4.89940393297208,  1.5178783,  151.2057,
 2003-Aug-07 03:00, , , 4.89951349550979,  1.5173819,  151.2159,
 2003-Aug-07 06:00, , , 4.89962302220955,  1.5168855,  151.2262,
 2003-Aug-07 09:00, , , 4.89973251306951,  1.5163890,  151.2364,
 2003-Aug-07 12:00, , , 4.89984196808781,  1.5158925,  151.2467,
 2003-Aug-07 15:00, , , 4.89995138726260,  1.5153960,  151.2569,
 2003-Aug-07 18:00, , , 4.90006077059204,  1.5148995,  151.2671,
 2003-Aug-07 21:00, , , 4.90017011807427,  1.5144029,  151.2774,
 2003-Aug-08 00:00, , , 4.90027942970745,  1.5139063,  151.2876,
 2003-Aug-08 03:00, , , 4.90038870548973,  1.5134097,  151.2978,
 2003-Aug-08 06:00, , , 4.90049794541926,  1.5129131,  151.3081,
 2003-Aug-08 09:00, , , 4.90060714949421,  1.5124164,  151.3183,
 2003-Aug-08 12:00, , , 4.90071631771273,  1.5119197,  151.3286,
 2003-Aug-08 15:00, , , 4.90082545007297,  1.5114230,  151.3388,
 2003-Aug-08 18:00, , , 4.90093454657309,  1.5109263,  151.3490,
 2003-Aug-08 21:00, , , 4.90104360721125,  1.5104295,  151.3593,
 2003-Aug-09 00:00, , , 4.90115263198562,  1.5099327,  151.3695,
 2003-Aug-09 03:00, , , 4.90126162089435,  1.5094359,  151.3797,
 2003-Aug-09 06:00, , , 4.90137057393561,  1.5089391,  151.3900,
 2003-Aug-09 09:00, , , 4.90147949110756,  1.5084422,  151.4002,
 2003-Aug-09 12:00, , , 4.90158837240836,  1.5079453,  151.4104,
 2003-Aug-09 15:00, , , 4.90169721783618,  1.5074484,  151.4207,
 2003-Aug-09 18:00, , , 4.90180602738919,  1.5069515,  151.4309,
 2003-Aug-09 21:00, , , 4.90191480106555,  1.5064545,  151.4411,
 2003-Aug-10 00:00, , , 4.90202353886342,  1.5059575,  151.4513,
 2003-Aug-10 03:00, , , 4.90213224078099,  1.5054605,  151.4616,
 2003-Aug-10 06:00, , , 4.90224090681642,  1.5049634,  151.4718,
 2003-Aug-10 09:00, , , 4.90234953696787,  1.5044664,  151.4820,
 2003-Aug-10 12:00, , , 4.90245813123353,  1.5039693,  151.4923,
 2003-Aug-10 15:00, , , 4.90256668961156,  1.5034721,  151.5025,
 2003-Aug-10 18:00, , , 4.90267521210014,  1.5029750,  151.5127,
 2003-Aug-10 21:00, , , 4.90278369869744,  1.5024778,  151.5229,
 2003-Aug-11 00:00, , , 4.90289214940165,  1.5019806,  151.5332,
 2003-Aug-11 03:00, , , 4.90300056421093,  1.5014834,  151.5434,
 2003-Aug-11 06:00, , , 4.90310894312346,  1.5009862,  151.5536,
 2003-Aug-11 09:00, , , 4.90321728613742,  1.5004889,  151.5638,
 2003-Aug-11 12:00, , , 4.90332559325100,  1.4999916,  151.5741,
 2003-Aug-11 15:00, , , 4.90343386446237,  1.4994943,  151.5843,
 2003-Aug-11 18:00, , , 4.90354209976972,  1.4989969,  151.5945,
 2003-Aug-11 21:00, , , 4.90365029917122,  1.4984996,  151.6047,
 2003-Aug-12 00:00, , , 4.90375846266506,  1.4980022,  151.6150,
 2003-Aug-12 03:00, , , 4.90386659024942,  1.4975047,  151.6252,
 2003-Aug-12 06:00, , , 4.90397468192250,  1.4970073,  151.6354,
 2003-Aug-12 09:00, , , 4.90408273768247,  1.4965098,  151.6456,
 2003-Aug-12 12:00, , , 4.90419075752752,  1.4960123,  151.6558,
 2003-Aug-12 15:00, , , 4.90429874145585,  1.4955148,  151.6661,
 2003-Aug-12 18:00, , , 4.90440668946565,  1.4950172,  151.6763,
 2003-Aug-12 21:00, , , 4.90451460155509,  1.4945197,  151.6865,
 2003-Aug-13 00:00, , , 4.90462247772237,  1.4940221,  151.6967,
 2003-Aug-13 03:00, , , 4.90473031796569,  1.4935244,  151.7069,
 2003-Aug-13 06:00, , , 4.90483812228324,  1.4930268,  151.7172,
 2003-Aug-13 09:00, , , 4.90494589067321,  1.4925291,  151.7274,
 2003-Aug-13 12:00, , , 4.90505362313379,  1.4920314,  151.7376,
 2003-Aug-13 15:00, , , 4.90516131966319,  1.4915337,  151.7478,
 2003-Aug-13 18:00, , , 4.90526898025960,  1.4910359,  151.7580,
 2003-Aug-13 21:00, , , 4.90537660492122,  1.4905382,  151.7682,
 2003-Aug-14 00:00, , , 4.90548419364625,  1.4900404,  151.7785,
 2003-Aug-14 03:00, , , 4.90559174643288,  1.4895426,  151.7887,
 2003-Aug-14 06:00, , , 4.90569926327932,  1.4890447,  151.7989,
 2003-Aug-14 09:00, , , 4.90580674418377,  1.4885468,  151.8091,
 2003-Aug-14 12:00, , , 4.90591418914443,  1.4880489,  151.8193,
 2003-Aug-14 15:00, , , 4.90602159815951,  1.4875510,  151.8295,
 2003-Aug-14 18:00, , , 4.90612897122721,  1.4870531,  151.8398,
 2003-Aug-14 21:00, , , 4.90623630834573,  1.4865551,  151.8500,
 2003-Aug-15 00:00, , , 4.90634360951328,  1.4860571,  151.8602,
 2003-Aug-15 03:00, , , 4.90645087472808,  1.4855591,  151.8704,
 2003-Aug-15 06:00, , , 4.90655810398832,  1.4850610,  151.8806,
 2003-Aug-15 09:00, , , 4.90666529729222,  1.4845629,  151.8908,
 2003-Aug-15 12:00, , , 4.90677245463799,  1.4840649,  151.9010,
 2003-Aug-15 15:00, , , 4.90687957602384,  1.4835667,  151.9112,
 2003-Aug-15 18:00, , , 4.90698666144798,  1.4830686,  151.9214,
 2003-Aug-15 21:00, , , 4.90709371090863,  1.4825704,  151.9317,
 2003-Aug-16 00:00, , , 4.90720072440399,  1.4820722,  151.9419,
 2003-Aug-16 03:00, , , 4.90730770193229,  1.4815740,  151.9521,
 2003-Aug-16 06:00, , , 4.90741464349173,  1.4810757,  151.9623,
 2003-Aug-16 09:00, , , 4.90752154908055,  1.4805775,  151.9725,
 2003-Aug-16 12:00, , , 4.90762841869695,  1.4800792,  151.9827,
 2003-Aug-16 15:00, , , 4.90773525233915,  1.4795809,  151.9929,
 2003-Aug-16 18:00, , , 4.90784205000538,  1.4790825,  152.0031,
 2003-Aug-16 21:00, , , 4.90794881169385,  1.4785842,  152.0133,
 2003-Aug-17 00:00, , , 4.90805553740278,  1.4780858,  152.0235,
 2003-Aug-17 03:00, , , 4.90816222713041,  1.4775873,  152.0337,
 2003-Aug-17 06:00, , , 4.90826888087495,  1.4770889,  152.0439,
 2003-Aug-17 09:00, , , 4.90837549863462,  1.4765904,  152.0541,
 2003-Aug-17 12:00, , , 4.90848208040766,  1.4760919,  152.0643,
 2003-Aug-17 15:00, , , 4.90858862619228,  1.4755934,  152.0745,
 2003-Aug-17 18:00, , , 4.90869513598673,  1.4750949,  152.0847,
 2003-Aug-17 21:00, , , 4.90880160978922,  1.4745963,  152.0949,
 2003-Aug-18 00:00, , , 4.90890804759798,  1.4740977,  152.1051,
 2003-Aug-18 03:00, , , 4.90901444941124,  1.4735991,  152.1154,
 2003-Aug-18 06:00, , , 4.90912081522724,  1.4731005,  152.1256,
 2003-Aug-18 09:00, , , 4.90922714504421,  1.4726018,  152.1358,
 2003-Aug-18 12:00, , , 4.90933343886038,  1.4721031,  152.1460,
 2003-Aug-18 15:00, , , 4.90943969667399,  1.4716044,  152.1562,
 2003-Aug-18 18:00, , , 4.90954591848326,  1.4711057,  152.1664,
 2003-Aug-18 21:00, , , 4.90965210428644,  1.4706069,  152.1766,
